rank,asset_id,tail_dependence_sum
1,US_MATERIALS,4.691815772873144
2,US_INDUSTRIALS,4.360432377125434
3,US_FINANCIALS,4.09708857113668
4,US_SEMICONDUCTOR,4.066677308920463
5,US_INTERNET,3.9499540552109442
6,US_NEW_ENERGY,3.7636590503184295
7,US_HEALTHCARE,3.7144542835253174
8,US_REAL_ESTATE_CHAIN,3.6291719235553095
9,CN_MATERIALS,3.577556783523314
10,CN_INDUSTRIALS,3.5013249003358684
11,US_ENERGY,3.4894845435175745
12,CN_NEW_ENERGY,3.4206513544457726
13,CN_FINANCIALS,3.2445751524926205
14,CN_REAL_ESTATE_CHAIN,3.1459591619437934
15,CN_SEMICONDUCTOR,3.1157195139697342
16,CN_UTILITIES,3.0861916713143707
17,US_UTILITIES,3.0544356002133712
18,CN_INTERNET,2.898987748576406
19,CN_HEALTHCARE,2.7142535109429273
20,CN_ENERGY,2.4326713494287904
