date,US_INTERNET,US_SEMICONDUCTOR,US_NEW_ENERGY,US_HEALTHCARE,US_FINANCIALS,US_REAL_ESTATE_CHAIN,US_ENERGY,US_MATERIALS,US_INDUSTRIALS,US_UTILITIES,CN_INTERNET,CN_SEMICONDUCTOR,CN_NEW_ENERGY,CN_HEALTHCARE,CN_FINANCIALS,CN_REAL_ESTATE_CHAIN,CN_ENERGY,CN_MATERIALS,CN_INDUSTRIALS,CN_UTILITIES
2019-07-04,,,,,,,,,,,18151275.723052025,29660528.780937195,,45495173.79261243,16471159.960627556,47783557.51706958,22878.09985280037,8486643.406629562,247676458.64527202,
2019-07-05,29980502.88543701,419247351.87683105,235726.52034759521,493280809.6298218,1005120290.2004242,54911233.38661194,338874606.73828125,195175447.97439575,442665836.67755127,779357670.9838867,15106890.674984455,29870801.273286343,,39044374.57866669,19529518.818855286,4855198.447680473,5082.0002019405365,5100901.70019865,69443579.54462767,
2019-07-08,33128172.966003418,402871944.1497803,272556.17752075195,1254210696.9299316,646212719.5299149,65211335.57128906,397659849.6208191,495804115.99502563,415022766.7098999,460983819.92111206,14424268.903112411,47227956.0185194,,30038686.651706696,19132314.24063444,3304627.285718918,181147.3978996277,10065035.203742981,139810491.75,
2019-07-09,70548775.51879883,421697771.9291687,274341.6046142578,457285706.2652588,637739098.0430603,53014895.55282593,345387612.7307892,260427217.3500061,695042753.2196045,856835767.5128937,12429433.509886265,27799304.868102074,,11369791.9008255,13710884.096622467,2988921.677529812,32234.400415420532,2475343.2997226715,54426058.29639912,
2019-07-10,69928559.1430664,489758745.49713135,208317.68035888672,443112366.3925171,897324463.189888,47874373.43902588,549722711.4967346,365958955.60531616,692542901.3671875,564229813.8961792,13187178.155744553,35254201.91152096,,29321529.46484089,13347145.648241043,495385.3156745434,13114.099591970444,6325919.804316759,88473331.59361231,
2019-07-11,59822075.95214844,409204559.7808838,168602.0679473877,1134826869.026184,1009587671.4754105,92966766.30783081,593618781.5872192,557370807.4073792,509184574.41864014,982689120.552063,11842257.809754848,26824153.372728825,,19905056.773288846,22640959.53911543,2710776.6788840294,224583.59459638596,8219809.033799171,58202704.803574085,
2019-07-12,45564757.7041626,385005102.7832031,395364.0649795532,943237084.6343994,772970955.9436798,110592447.0741272,379886716.31469727,223543331.68029785,851574044.2504883,548963927.173233,14332054.754590988,26115235.108566284,,20947334.637880325,18592726.227760315,2410732.862532139,8208.80000591278,4728291.400897503,53917786.185622215,
2019-07-15,34943779.275512695,289269557.87353516,125628.3187866211,477320779.9964905,700321269.9634552,57046167.08068848,444364225.9525299,230465844.42062378,310709070.8679199,458017771.7479706,24006224.891364574,51414134.09181833,,35952013.08898926,17558956.775665283,2104804.523205757,51508.800411224365,161233230.137825,130097940.11723399,
2019-07-16,199562736.3708496,401050499.66812134,417820.89920043945,743128485.0646973,1165389964.9503708,53945223.626327515,487942397.47810364,230392122.51281738,569962931.3209534,700454072.2328186,17201241.472554207,28138267.49560833,,20482585.542571545,11736662.91975975,3158252.1931529045,266803.8954913616,16697313.247740269,68145376.15098059,
2019-07-17,32579318.66455078,292055873.0392456,121776.94549560547,782071666.985321,856723648.4077454,77897428.53507996,622606963.7947083,361609935.80856323,772204232.6454163,653229726.6529083,18765918.51553917,53420925.071811676,,18597108.069369793,11618578.055799007,1977168.2472467422,144638.13642573357,11222976.62768364,63894197.24062085,
